NU_ANO_CENSO,CODIGO,NO_LOCALIZACAO,NO_DEPENDENCIA,1_CAT1_CATFUN,1_CAT1_CATFUN_AI,1_CAT1_CATFUN_AF,1_CAT1_CATFUN_01,1_CAT1_CATFUN_02,1_CAT1_CATFUN_03,1_CAT1_CATFUN_04,1_CAT1_CATFUN_05,1_CAT1_CATFUN_06,1_CAT1_CATFUN_07,1_CAT1_CATFUN_08,1_CAT1_CATFUN_09,1_CAT1_CATMED,1_CAT1_CATMED_01,1_CAT1_CATMED_02,1_CAT1_CATMED_03,1_CAT2_CATFUN,1_CAT2_CATFUN_AI,1_CAT2_CATFUN_AF,1_CAT2_CATFUN_01,1_CAT2_CATFUN_02,1_CAT2_CATFUN_03,1_CAT2_CATFUN_04,1_CAT2_CATFUN_05,1_CAT2_CATFUN_06,1_CAT2_CATFUN_07,1_CAT2_CATFUN_08,1_CAT2_CATFUN_09,1_CAT2_CATMED,1_CAT2_CATMED_01,1_CAT2_CATMED_02,1_CAT2_CATMED_03,1_CAT3_CATFUN,1_CAT3_CATFUN_AI,1_CAT3_CATFUN_AF,1_CAT3_CATFUN_01,1_CAT3_CATFUN_02,1_CAT3_CATFUN_03,1_CAT3_CATFUN_04,1_CAT3_CATFUN_05,1_CAT3_CATFUN_06,1_CAT3_CATFUN_07,1_CAT3_CATFUN_08,1_CAT3_CATFUN_09,1_CAT3_CATMED,1_CAT3_CATMED_01,1_CAT3_CATMED_02,1_CAT3_CATMED_03,1_CAT4_CATFUN,1_CAT4_CATFUN_AI,1_CAT4_CATFUN_AF,1_CAT4_CATFUN_01,1_CAT4_CATFUN_02,1_CAT4_CATFUN_03,1_CAT4_CATFUN_04,1_CAT4_CATFUN_05,1_CAT4_CATFUN_06,1_CAT4_CATFUN_07,1_CAT4_CATFUN_08,1_CAT4_CATFUN_09,1_CAT4_CATMED,1_CAT4_CATMED_01,1_CAT4_CATMED_02,1_CAT4_CATMED_03
2020/2021,Brasil,Total,Total,95.1,96.1,93.8,95.9,96.4,96.3,96.7,95.1,94.7,94.5,94.9,90.7,89.0,87.3,88.9,91.5,2.3,2.2,2.3,2.5,2.1,2.4,2.0,2.1,2.6,2.3,1.9,2.4,3.9,4.1,2.4,5.6,2.3,1.6,3.0,1.6,1.5,1.3,1.2,2.5,2.1,2.1,2.4,6.1,5.9,7.0,7.1,2.5,0.3,0.1,0.9,0.0,0.0,0.0,0.1,0.3,0.6,1.1,0.8,0.8,1.2,1.6,1.6,0.4
2020/2021,Brasil,Urbana,Total,95.4,96.3,94.3,95.9,96.5,96.5,97.0,95.7,95.0,94.8,95.2,91.9,89.0,87.4,88.9,91.6,2.1,2.1,2.2,2.4,2.1,2.2,1.8,1.8,2.6,2.2,1.8,2.2,3.9,4.0,2.4,5.5,2.1,1.6,2.8,1.7,1.4,1.3,1.2,2.3,2.0,2.0,2.2,5.2,5.9,7.0,7.1,2.5,0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.4,1.0,0.8,0.7,1.2,1.6,1.6,0.4
2020/2021,Brasil,Rural,Total,93.1,94.8,90.4,96.0,95.9,95.3,95.3,91.9,93.1,92.6,92.8,80.9,88.0,86.6,88.9,89.1,3.2,3.1,3.2,2.6,2.6,3.3,3.1,3.9,3.3,3.0,2.6,3.9,5.2,5.0,2.9,8.4,3.2,1.9,5.2,1.4,1.5,1.4,1.5,3.7,2.7,2.9,3.4,13.5,5.9,7.1,7.2,2.3,0.5,0.2,1.2,0.0,0.0,0.0,0.1,0.5,0.9,1.5,1.2,1.7,0.9,1.3,1.0,0.2
2020/2021,Brasil,Total,Federal,97.7,98.4,97.4,98.3,98.0,98.7,98.7,98.0,94.8,98.0,98.2,98.4,76.6,72.2,79.2,80.3,1.8,1.3,2.0,1.4,1.7,0.8,0.9,1.5,4.7,1.4,1.4,0.9,19.3,23.5,16.1,16.8,0.4,0.3,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.3,0.5,3.6,3.9,4.3,2.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.5,0.4,0.4,0.4
2020/2021,Brasil,Total,Estadual,95.0,97.0,94.3,97.4,97.4,96.8,97.4,96.1,94.9,94.7,94.7,92.6,88.3,86.8,88.3,90.6,2.1,1.8,2.3,1.6,1.6,2.2,1.6,2.0,2.5,2.3,2.0,2.3,3.9,3.7,2.2,6.2,2.5,1.2,3.0,1.0,1.0,1.0,1.0,1.8,2.2,2.4,2.7,4.5,6.5,7.7,7.8,2.9,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.4,0.6,0.6,0.6,1.3,1.8,1.7,0.3
2020/2021,Brasil,Total,Municipal,95.3,96.7,92.6,97.5,97.4,96.8,97.0,95.0,94.3,93.7,94.5,86.6,93.4,91.4,93.9,95.8,2.1,1.9,2.5,1.5,1.7,2.1,1.9,2.0,2.8,2.4,1.9,2.8,2.9,3.7,2.1,2.9,2.1,1.3,3.6,1.0,0.9,1.1,1.0,2.6,2.0,2.1,2.3,9.4,3.2,4.4,3.5,1.1,0.5,0.1,1.3,0.0,0.0,0.0,0.1,0.4,0.9,1.8,1.3,1.2,0.5,0.5,0.5,0.2
2020/2021,Brasil,Total,Privada,94.4,93.3,96.1,89.8,92.7,93.8,95.1,95.0,95.6,96.2,96.8,95.7,96.2,95.1,94.9,99.0,3.1,3.8,2.0,6.2,4.1,3.4,2.8,2.5,2.5,2.0,1.6,1.8,1.2,2.0,1.0,0.6,2.5,2.9,1.8,4.0,3.2,2.8,2.1,2.5,1.9,1.7,1.5,2.3,2.3,2.6,3.6,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.5,0.0
2020/2021,Brasil,Total,Pública,95.2,96.8,93.4,97.4,97.4,96.8,97.1,95.2,94.6,94.2,94.6,89.8,87.9,86.3,88.0,90.3,2.1,1.9,2.4,1.5,1.7,2.1,1.8,2.0,2.7,2.4,1.9,2.5,4.3,4.3,2.6,6.5,2.2,1.3,3.3,1.1,0.9,1.1,1.0,2.5,2.1,2.2,2.5,6.8,6.4,7.6,7.6,2.9,0.5,0.0,0.9,0.0,0.0,0.0,0.1,0.3,0.6,1.2,1.0,0.9,1.4,1.8,1.8,0.3
2020/2021,Norte,Total,Total,93.5,94.5,92.3,95.5,95.4,94.8,95.2,91.7,93.5,93.1,94.0,88.0,92.2,89.8,91.3,96.8,3.1,3.2,3.0,2.7,2.8,3.5,3.1,3.7,3.5,2.9,2.7,3.0,3.0,4.1,2.7,1.9,2.7,2.2,3.4,1.8,1.8,1.7,1.6,4.1,2.2,2.2,2.2,7.9,3.2,4.1,3.9,1.1,0.7,0.1,1.3,0.0,0.0,0.0,0.1,0.5,0.8,1.8,1.1,1.1,1.6,2.0,2.1,0.2
2020/2021,Norte,Urbana,Total,94.8,95.5,93.9,95.9,96.1,95.7,96.2,93.8,94.4,93.9,94.9,92.2,92.2,89.8,91.2,96.9,2.5,2.5,2.6,2.3,2.4,2.9,2.4,2.5,3.1,2.5,2.4,2.2,3.0,4.1,2.6,1.7,2.1,1.9,2.4,1.8,1.5,1.4,1.3,3.2,1.8,1.7,1.7,4.5,3.1,4.0,3.9,1.1,0.6,0.1,1.1,0.0,0.0,0.0,0.1,0.5,0.7,1.9,1.0,1.1,1.7,2.1,2.3,0.3
